response_id,rater_name,pair_id,pair_kind,is_duplicate,queue_position,session_num,side_assignment,readability_choice,substance_choice,skipped,notes,time_ms,submitted_at
98fb52ff-6a22-41ef-be15-ba2e5d4feb67,Axel,b7aadda1-2865-4db3-a28d-7a1c745b21f7,calibration_readability,0,0,1,a_right,,,1,,229273,2026-05-27T11:19:56.071917+00:00
2c5405e4-f92d-4cca-bb85-560522170d0a,Axel,c6c8c9f2-e4cf-40b3-8fad-8e4ba0f806fd,real,0,1,1,a_right,b_slight,b_slight,0,,306094,2026-05-27T11:25:02.494769+00:00
69a0d786-2253-4899-84b6-cd76d77743c3,Axel,ddd92693-a451-4f61-bfff-988822a21056,real,0,2,1,a_right,a_much,a_slight,0,,155547,2026-05-27T11:27:38.364707+00:00
e953413b-4d64-4381-88f6-f34477fcf7f5,Axel,94726fd1-6b49-4e96-80bf-8f8a6995ded5,real,0,3,1,a_right,,,1,,15464,2026-05-27T11:27:53.874166+00:00
9eebefee-9e4c-48f5-a0fd-93e6adacacaa,Axel,4cc2182a-c0a7-40f4-a442-64f1561b982b,real,0,4,1,a_left,a_much,a_slight,0,,276765,2026-05-27T11:32:30.677257+00:00
ef8ee2f4-b649-4297-9b15-7f0fb676220d,Axel,27dfe530-8438-4fa9-bc65-778e353da980,real,0,5,1,a_right,b_slight,b_slight,0,,57466,2026-05-27T11:33:28.457632+00:00
0d91cf66-2dce-491e-8dd7-5e9bd50ec833,Axel,9b113a1b-dd33-4fc2-a281-451d848bae6b,real,0,6,1,a_left,b_slight,a_slight,0,,404960,2026-05-27T11:40:13.454931+00:00
dd491e61-c3fd-4318-870e-03b5b254ea8e,Axel,4d6e71e2-b985-4095-a3c6-df02af3b42b3,calibration_readability,0,7,1,a_right,a_slight,a_much,0,,122643,2026-05-27T11:42:16.403384+00:00
0b60d895-0688-4e62-9a7b-0a81ed4d58ba,Axel,78357d22-4599-47b1-ba3d-e0983a8c8d46,real,0,8,1,a_left,a_slight,a_much,0,,213902,2026-05-27T11:45:50.603689+00:00
32b9770a-7fb6-447b-b5a8-440e414935a2,Axel,c90f6128-c3e1-49f2-af58-a529dcb4ebc8,real,1,9,1,a_left,a_slight,b_slight,0,,130684,2026-05-27T11:48:01.585739+00:00
733a277d-d753-414e-884a-0244df1fdc68,Axel,41eba66f-39ff-49ff-b140-33617a287774,real,1,10,1,a_left,b_much,a_slight,0,,149351,2026-05-27T11:50:31.238315+00:00
0197a7cc-eff2-4304-8899-8fbd7714d088,Axel,7db28112-e172-4df2-984a-546ac23cc910,real,0,11,1,a_left,a_slight,a_slight,0,,222756,2026-05-27T11:54:14.035280+00:00
dada91a1-7887-49dc-be57-7a59ec1ae924,Axel,9ae2a70c-b692-4ead-be02-2265d1a61863,real,0,12,1,a_left,a_slight,a_slight,0,,102917,2026-05-27T11:55:57.249168+00:00
53c91b98-e69f-4483-8b7c-ce3c63f191eb,Axel,b83bcd14-d422-4309-9c2e-270f0f72d5f3,real,0,13,1,a_left,a_slight,a_slight,0,,351336,2026-05-27T12:01:48.621414+00:00
2cb2d961-5bba-42d9-84a3-3983d4e86cb4,Axel,a455cd73-5e27-4b55-b4bc-458d2de69011,calibration_substance,0,14,1,a_right,a_slight,a_much,0,,140710,2026-05-27T12:04:09.644755+00:00
